date,type,bot@,qty,tp,cost
2013-03-04, BUY, 1.20, 2649, 3166.11, 0
2013-03-05, SELL, 1.25, 2649, 3305.18, 1
2013-03-06, BUY, 1.24, 2582, 3201.14, 1
2013-03-11, SELL, 1.26, 2582, 3266.23, 5
2013-03-12, BUY, 1.25, 2569, 3210.18, 1
2013-03-21, BUY, 1.22, 2701, 3285.09, 9
2013-03-22, SELL, 1.25, 2701, 3375.69, 1
2013-03-28, SELL, 1.27, 2569, 3262.63, 6
2013-04-01, BUY, 1.25, 2612, 3253.03, 4
2013-04-02, SELL, 1.27, 2612, 3326.49, 1
2013-04-03, BUY, 1.24, 2634, 3265.61, 1
2013-04-05, BUY, 1.21, 2767, 3348.07, 2
2013-04-08, SELL, 1.23, 2767, 3399.38, 3
2013-04-10, SELL, 1.33, 2634, 3492.79, 2
2013-04-11, BUY, 1.32, 2535, 3355.71, 1
2013-04-15, BUY, 1.24, 2777, 3448.69, 4
2013-04-16, SELL, 1.29, 2777, 3592.74, 1
2013-04-17, BUY, 1.22, 2824, 3439.98, 1
2013-04-18, BUY, 1.17, 3075, 3583.66, 1
2013-04-19, SELL, 1.21, 3075, 3732.28, 1
2013-04-22, SELL, 1.25, 2824, 3532.94, 3
2013-04-23, BUY, 1.29, 2777, 3576.55, 1
2013-04-29, SELL, 1.33, 2777, 3690.52, 6
2013-04-30, SELL, 1.36, 2535, 3442.85, 1
2013-05-01, BUY, 1.34, 2629, 3525.05, 1
2013-05-02, SELL, 1.39, 2629, 3652.67, 1
2013-05-03, BUY, 1.44, 2500, 3594.79, 1
2013-05-08, SELL, 1.48, 2500, 3689.06, 5
2013-05-09, BUY, 1.47, 2455, 3609.87, 1
2013-05-10, SELL, 1.50, 2455, 3671.25, 1
2013-05-13, BUY, 1.50, 2410, 3618.01, 3
2013-05-15, SELL, 1.53, 2410, 3698.34, 2
2013-05-16, BUY, 1.53, 2385, 3646.56, 1
2013-05-17, SELL, 1.57, 2385, 3749.42, 1
2013-05-20, BUY, 1.57, 2334, 3652.71, 3
2013-05-22, BUY, 1.53, 2445, 3746.96, 2
2013-05-31, BUY, 1.50, 2684, 4035.51, 9
2013-07-11, SELL, 1.62, 2684, 4336.34, 41
2013-07-12, SELL, 1.63, 2445, 3991.46, 1
2013-07-15, SELL, 1.65, 2334, 3839.92, 3
2013-07-16, BUY, 1.64, 2394, 3923.17, 1
2013-07-19, BUY, 1.59, 2522, 4006.30, 3
2013-07-23, BUY, 1.56, 2664, 4167.50, 4
2013-07-25, SELL, 1.61, 2664, 4282.93, 2
2013-07-26, SELL, 1.63, 2522, 4121.89, 1
2013-08-01, SELL, 1.71, 2394, 4098.73, 6
2013-08-02, BUY, 1.74, 2280, 3968.63, 1
2013-08-06, BUY, 1.71, 2378, 4074.31, 4
2013-08-13, SELL, 1.75, 2378, 4154.07, 7
2013-08-15, BUY, 1.64, 2517, 4129.98, 2
2013-08-22, SELL, 1.68, 2517, 4231.18, 7
2013-08-27, BUY, 1.61, 2623, 4222.48, 5
2013-08-29, SELL, 1.66, 2623, 4365.66, 2
2013-08-30, BUY, 1.63, 2631, 4297.30, 1
2013-09-03, SELL, 1.66, 2631, 4368.01, 4
